Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,T4_fc,T4_padj,arabi-defline
Bradi1g00350,0.15946398,NA,0.508788766,NA,-1.410514182,0.995860336,-0.194006052,NA,RNA polymerase II large subunit
Bradi1g00360,NA,NA,1.050273223,NA,-1.75468197,0.995860336,2.442978304,NA,RNA polymerase II large subunit
Bradi1g00361,-0.77272884,NA,-1.046463344,NA,-0.238041191,0.995860336,0.998757813,NA,NA
Bradi1g00362,-1.257618899,0.572393335,1.09934887,NA,0.731832218,0.995860336,0.327007092,0.999968509,NA
Bradi1g00364,-0.217185194,0.91035423,0.240148785,0.606720473,0.492451318,0.995860336,0.705024985,0.838545059,NA
Bradi1g00365,1.781949911,NA,0.480490044,NA,0.78910638,0.995860336,1.001288452,NA,NA
Bradi1g00366,NA,NA,-2.090603701,NA,0.751551015,0.995860336,NA,NA,NA
Bradi1g00368,NA,NA,NA,NA,NA,NA,NA,NA,DNA binding
Bradi1g00370,0.194976381,0.799159006,-0.60701606,0.138707438,0.407918064,0.961425976,-0.112724899,0.999968509,NA
Bradi1g00381,NA,NA,NA,NA,NA,NA,NA,NA,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g00385,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradi1g00390,NA,NA,NA,NA,NA,NA,NA,NA,Protein kinase family protein with ARM repeat domain
Bradi1g00400,NA,NA,-0.182612368,NA,NA,NA,NA,NA,"Core-2/I-branching beta-1,6-N-acetylglucosaminyltransferase family protein"
Bradi1g00405,1.130345573,NA,NA,NA,NA,NA,-1.499046748,NA,Bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin superfamily protein
Bradi1g00410,-0.064983337,0.946363552,-0.406528286,0.193769163,0.584102948,0.845881736,0.415583487,0.999968509,NA
Bradi1g00412,NA,NA,NA,NA,0.751551015,0.995860336,-1.289050708,NA,NA
Bradi1g00413,1.130345573,NA,1.240879343,NA,0.751551015,0.995860336,-2.055786668,NA,NA
Bradi1g00415,1.130345573,NA,-1.585293525,NA,NA,NA,-0.332952459,NA,NA
Bradi1g00417,-0.012589321,0.987283658,-0.576965781,0.062974318,0.032319947,0.995860336,0.073648012,0.999968509,NA
Bradi1g00427,-0.046296925,0.952225712,-0.446872807,0.079964714,-0.058981963,0.995860336,0.107744292,0.999968509,RAD3-like DNA-binding helicase protein
Bradi1g00438,NA,NA,0.480490044,NA,NA,NA,NA,NA,NA
Bradi1g00450,-0.008633929,0.987175428,0.1647985,0.414212356,-0.015444237,0.995860336,0.208515132,0.848576755,Ypt/Rab-GAP domain of gyp1p superfamily protein
Bradi1g00455,NA,NA,-2.090603701,NA,-1.75468197,0.995860336,-2.074209938,NA,NA
Bradi1g00460,-0.11846726,0.771795647,-0.08154444,0.828765787,-0.10208131,0.995860336,0.25464039,0.950407585,pleiotropic drug resistance 11
Bradi1g00470,-0.086882745,0.795091722,0.23181398,0.334679699,-0.01184579,0.995860336,0.056292912,0.999968509,glutathione S-transferase THETA 1
Bradi1g00480,-0.002817137,0.995757788,0.016519732,0.9347522,0.036997465,0.995860336,-0.029442477,0.999968509,NA
Bradi1g00482,0.727570107,0.808704974,-0.451949664,NA,-0.272208807,0.995860336,-0.169610134,0.999968509,NA
Bradi1g00485,-0.109027016,0.948409843,0.341008348,0.442066961,0.089088224,0.995860336,0.317918563,0.999968509,Nuclear transport factor 2 (NTF2) family protein
Bradi1g00491,0.560837549,0.393157415,0.029026936,0.95066507,-0.088081582,0.995860336,0.041297149,0.999968509,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g00497,-0.082502894,0.805205155,-0.033373756,0.897948501,-0.228091117,0.932985566,0.129187322,0.999968509,F-box family protein
Bradi1g00510,-0.05172268,0.919454466,-0.001021163,0.998204334,-0.097974749,0.995860336,0.131589465,0.999968509,LUC7 N_terminus domain-containing protein
Bradi1g00517,-0.113808072,0.873201304,-0.189183048,0.49172141,-0.197870935,0.995860336,0.121678558,0.999968509,RNA-binding (RRM/RBD/RNP motifs) family protein
Bradi1g00530,0.164034694,0.796612505,0.042077371,0.870883067,0.338326657,0.993288321,-0.200257266,0.999968509,Rhodanese/Cell cycle control phosphatase superfamily protein
Bradi1g00535,NA,NA,NA,NA,NA,NA,-1.289050708,NA,NA
Bradi1g00540,-0.615234297,0.60273343,-0.482271056,0.048607186,-0.186037739,0.995860336,0.069899494,0.999968509,Heavy metal transport/detoxification superfamily protein 
Bradi1g00552,-2.431559936,0.448883414,-1.056000995,NA,0.24540086,0.995860336,0.17887661,0.999968509,plasma membrane intrinsic protein 2;5
Bradi1g00560,-0.075181492,0.924261011,-0.227864377,0.429185333,-0.273901178,0.932985566,0.231066717,0.999968509,COP1-interacting protein-related
Bradi1g00563,0.272074067,0.902051232,-0.43189061,NA,-0.155390538,0.995860336,-0.30546136,0.999968509,NA
Bradi1g00567,0.053549049,0.877175564,-0.036933699,0.893249138,-0.137464825,0.995860336,0.112583279,0.999968509,LEUNIG_homolog
Bradi1g00580,-0.123460677,0.81593148,-0.325122152,0.399207169,-0.296453574,0.995860336,0.014000659,0.999968509,Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Bradi1g00587,-0.310461321,0.939709225,-0.833829363,NA,1.141932743,0.995860336,-0.097838918,NA,Flavin-binding monooxygenase family protein
Bradi1g00600,-5.950314905,0.001178549,-2.909004496,9.04E-10,-0.524783338,0.995860336,-0.127977473,0.999968509,AWPM-19-like family protein
Bradi1g00607,0.596390008,0.744103351,0.28010641,0.57475387,-0.53907558,0.995860336,0.07720193,0.999968509,myosin XI B
Bradi1g00620,-0.536867806,0.467337405,0.004799599,0.987369731,-0.206727624,0.995860336,0.334248602,0.695930156,ubiquitin-conjugating enzyme 5
Bradi1g00625,-0.214589153,0.88859717,-0.125422839,0.874815632,-0.711471945,0.932985566,-0.084634729,0.999968509,NA
Bradi1g00630,0.005724718,0.998092275,-0.582544635,0.438528034,-1.160131919,0.678553832,-0.077461716,0.999968509,NA
Bradi1g00642,-0.154384629,0.916259247,-0.040533846,0.930036092,-0.230256468,0.995860336,-0.319563944,0.999968509,NA
Bradi1g00654,0.444199142,NA,3.116353456,NA,-1.157414119,0.995860336,-0.488290417,NA,nodulin MtN21 /EamA-like transporter family protein
Bradi1g00666,-0.782938821,0.789471673,1.541223806,0.087805035,-1.28254509,0.927636968,0.190705114,0.999968509,ethylene response factor 1
Bradi1g00672,NA,NA,0.430537556,NA,-1.401474105,0.995860336,1.470378499,NA,NA
Bradi1g00678,-0.204266552,0.839098271,0.15133218,0.644777206,-0.288056109,0.995860336,0.29978811,0.999968509,RNA-binding ASCH domain protein
Bradi1g00690,-1.685514359,0.007273831,-0.448822804,0.271280108,-0.138526035,0.995860336,0.530035835,0.829194728,type one protein phosphatase 1
Bradi1g00700,-1.402592749,0.024918858,-0.080084196,0.786625655,-0.352371187,0.995860336,0.34443339,0.511234255,phosphate transporter 1;7
Bradi1g00710,-0.294813619,0.685477847,-0.336218425,0.166492505,-0.34863746,0.787457587,0.079772692,0.999968509,"Protein of unknown function, DUF547"
Bradi1g00720,-0.474985188,0.352597146,-0.03927429,0.899376093,-0.452524841,0.934197497,0.182913694,0.999968509,Cysteine proteinases superfamily protein
Bradi1g00730,0.155768046,0.621621083,0.097839325,0.607834432,-0.045033026,0.995860336,-0.054816026,0.999968509,chaperonin-60alpha
Bradi1g00740,-0.083239114,0.922803891,0.222073922,0.530853942,0.287829687,0.995860336,-0.200844885,0.999968509,Thioesterase superfamily protein
Bradi1g00750,-0.442283031,0.287883782,0.161041605,0.305969212,0.267655822,0.995860336,-0.309524206,0.999968509,RNApolymerase sigma-subunit F
Bradi1g00760,0.264041134,0.526768964,-0.092550222,0.606496196,0.220564904,0.995860336,-0.126190791,0.999968509,ABC-2 type transporter family protein
Bradi1g00770,-0.041264538,0.974858955,-0.176802268,0.725421316,0.276010801,0.995860336,0.205878204,0.999968509,Heavy metal transport/detoxification superfamily protein 
Bradi1g00780,-1.210421372,0.418520116,-0.766850119,0.057513661,0.026741174,0.995860336,0.461897807,0.999968509,MATE efflux family protein
Bradi1g00785,-0.995625107,0.695884824,-0.092116467,NA,-0.329323977,0.995860336,-0.393134267,NA,NA
Bradi1g00790,-0.156394436,0.905692275,-0.225958365,0.435047185,-0.000556135,0.999640071,-0.180002703,0.999968509,GDSL-like Lipase/Acylhydrolase superfamily protein
Bradi1g00800,-0.793207779,NA,0.91829303,NA,-0.372613328,0.995860336,-1.289050708,NA,NA
Bradi1g00807,-0.576573732,0.51234832,-0.575799439,0.025720756,0.443878035,0.995860336,-0.443569398,0.999968509,GDSL-like Lipase/Acylhydrolase superfamily protein
Bradi1g00820,0.12972417,0.669644565,-0.164746101,0.53211227,0.02066669,0.995860336,-0.045613281,0.999968509,winged-helix DNA-binding transcription factor family protein
Bradi1g00830,0.173323751,0.6872419,0.223523905,0.254542935,0.124209725,0.995860336,-0.2546999,0.796592842,NA
Bradi1g00840,-0.796429142,0.015266983,-0.001078,0.99859033,-0.152725235,0.995860336,0.285830249,0.999968509,Protein of unknown function (DUF668)
Bradi1g00847,0.218853819,0.66990793,0.161725861,0.338196716,-0.04962187,0.995860336,0.091798258,0.999968509,Transducin/WD40 repeat-like superfamily protein
Bradi1g00860,-0.107511595,0.798421275,0.023286865,0.9182899,-0.002682131,0.998704849,0.039877595,0.999968509,indigoidine synthase A family protein
Bradi1g00867,1.130345573,NA,0.121032132,NA,-1.476565005,0.995860336,0.804614692,NA,Ribosomal protein L2 family
Bradi1g00880,-0.383880293,0.535474214,-0.493091414,0.117905145,-0.142713166,0.995860336,0.33504451,0.999968509,NA
Bradi1g00887,0.514757666,0.065681511,0.34975388,0.010489383,0.141540633,0.995860336,0.091561267,0.999968509,exportin 1A
Bradi1g00900,-0.441445927,0.777080535,0.187246654,0.718729986,-0.225942734,0.995860336,-0.495045654,0.999968509,Putative lysine decarboxylase family protein
Bradi1g00910,-0.216566213,0.592611592,0.022008297,0.970173149,0.10708692,0.995860336,-0.100863041,0.999968509,NA
Bradi1g00920,0.35907077,0.170148306,0.086232705,0.692801048,0.36704005,0.891436753,-0.185836341,0.999968509,Domain of unknown function (DUF303) 
Bradi1g00931,-0.089161753,0.859397117,0.223363672,0.517311205,0.254298426,0.995860336,-0.060189057,0.999968509,Domain of unknown function (DUF303) 
Bradi1g00940,-0.677541823,0.389078569,-0.239197733,0.209292878,-0.228728773,0.995860336,-0.792730799,0.02198739,PGR5-LIKE A
Bradi1g00950,-1.93585105,0.474491292,-0.873534175,0.067453929,-0.06745664,0.995860336,0.163396741,0.999968509,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bradi1g00960,-0.549607189,0.02325127,0.208509244,0.268385189,-0.190929639,0.995860336,0.221325739,0.901939933,LRR and NB-ARC domains-containing disease resistance protein
Bradi1g00970,0.12409557,0.952173563,0.868282848,0.221534241,0.858121013,0.995860336,-0.104496633,0.999968509,phloem protein 2-B10
Bradi1g00980,-0.150791842,0.741671434,0.230907808,0.234905925,0.303090785,0.995860336,-0.262708576,0.999968509,"30S ribosomal protein, putative"
Bradi1g00990,0.18900479,0.457188933,-0.007344671,0.971545516,0.030040227,0.995860336,0.038689416,0.999968509,homolog of yeast sucrose nonfermenting 4
Bradi1g01000,0.222947755,0.287389701,0.02032123,0.948390361,0.195471529,0.995860336,-0.380676003,0.71938902,acyl carrier protein 1
Bradi1g01007,0.359174787,0.258348122,0.234704784,0.132482231,0.059850209,0.995860336,0.004998719,0.999968509,Ku80 family protein
Bradi1g01014,-0.124119437,0.735968013,0.268198082,0.504795984,0.164952017,0.995860336,-0.00822371,0.999968509,SNARE-like superfamily protein
Bradi1g01021,0.226520838,0.600130041,-0.12541979,0.711206755,0.286908738,0.995860336,-0.86553217,0.603482932,pentatricopeptide (PPR) repeat-containing protein
Bradi1g01030,NA,NA,NA,NA,NA,NA,NA,NA,RAD-like 6
Bradi1g01040,0.14694357,NA,-0.527440238,NA,-0.042969646,0.995907693,0.062838809,NA,casein lytic proteinase B4
Bradi1g01047,-0.057087423,0.886240164,-0.205999935,0.140464959,0.086123193,0.995860336,-0.058318536,0.999968509,NA
Bradi1g01058,-0.291040488,0.694467537,-0.291293854,0.217992997,0.39855547,0.923547239,-0.157237444,0.999968509,WRKY DNA-binding protein 35
Bradi1g01070,0.222521331,0.630555502,0.060406164,0.816676213,0.22713793,0.947267929,-0.089536277,0.999968509,CDK inhibitor P21 binding protein
Bradi1g01075,-0.793207779,NA,0.480490044,NA,-0.228384887,0.995860336,0.418801033,NA,NA
Bradi1g01080,-0.450108946,0.070629834,-0.355931128,0.076539451,0.176402706,0.995860336,-0.012464641,0.999968509,AIG2-like (avirulence induced gene) family protein
Bradi1g01090,0.154280352,0.64709081,-0.038653887,0.840072963,-0.144626614,0.995860336,-0.018300949,0.999968509,ARF-GAP domain 9
Bradi1g01100,0.064076813,0.91456243,0.208854536,0.312730884,0.332868426,0.910228224,-0.067549557,0.999968509,Ribosomal protein S5 domain 2-like superfamily protein
Bradi1g01110,0.167049296,0.641850398,0.413300816,0.183929121,0.222413469,0.995860336,-0.003752428,0.999968509,RNA-binding (RRM/RBD/RNP motifs) family protein
Bradi1g01120,-0.302448497,0.67841849,-0.428793673,0.173154376,-0.12661216,0.995860336,0.325906142,0.979089553,Ribonuclease III family protein
Bradi1g01130,-0.128421026,0.689514263,0.01086372,0.962363948,-0.075048094,0.995860336,0.168592399,0.999968509,heat shock transcription factor A1D
Bradi1g01140,0.290128178,0.292564913,0.410926251,0.013747174,0.17752804,0.995860336,-0.091191323,0.999968509,cleavage and polyadenylation specificity factor 73-I
Bradi1g01150,-0.249167088,0.878385633,-0.942280309,0.001756266,-0.326406726,0.995860336,0.317598329,0.999968509,xyloglucan endotransglucosylase/hydrolase 30
Bradi1g01160,-0.373866789,0.905095292,-0.34209584,NA,-0.722291798,0.995860336,0.146850444,NA,NA
Bradi1g01170,0.171739871,0.485546773,0.135157825,0.511143182,0.255202086,0.995860336,0.336862373,0.999968509,WWE protein-protein interaction domain protein family
Bradi1g01172,-0.347080242,NA,-0.197855559,NA,0.683595698,0.995860336,0.755869766,NA,NA
Bradi1g01174,-0.37968405,NA,-0.381538726,NA,0.414960088,0.995860336,0.736579944,NA,FIZZY-related 2
Bradi1g01176,-2.335192479,NA,-0.52899088,NA,0.817114936,0.995860336,-0.997253749,NA,NA
Bradi1g01178,NA,NA,-2.087519962,NA,1.656317669,0.995860336,-1.817323744,NA,NA
Bradi1g01180,0.534970706,0.770449413,-0.126255154,0.859064482,-0.270214498,0.995860336,-0.092823606,0.999968509,heat shock protein 101
Bradi1g01190,-0.128560946,0.955576141,-1.015062308,0.011779462,-0.40278976,0.995860336,0.108047754,0.999968509,non-specific phospholipase C4
Bradi1g01200,0.096195001,0.896388668,-0.03770807,0.936711541,0.064570469,0.995860336,0.002918579,0.999968509,cleavage and polyadenylation specificity factor 73-I
Bradi1g01210,-0.390127586,0.577018707,-0.42787135,0.15424344,0.041798216,0.995860336,0.44950689,0.900639369,DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein
Bradi1g01220,0.162208102,0.76493212,0.189759688,0.610865043,0.144442838,0.995860336,0.087517642,0.999968509,Ribonuclease P protein subunit P38-related
Bradi1g01227,0.27133005,0.362504537,-0.133620804,0.636162235,0.065172386,0.995860336,-0.232955887,0.898379628,NA
Bradi1g01240,-0.348709264,0.940121163,0.008873049,NA,-0.660440735,0.995860336,0.514730291,0.999968509,heat shock protein 101
Bradi1g01250,0.245380065,0.236563385,-0.298377528,0.288944048,-0.264291595,0.932985566,0.16203745,0.999968509,NB-ARC domain-containing disease resistance protein
Bradi1g01257,0.283363786,0.302160992,0.025029796,0.924585218,-0.010728815,0.995860336,0.024742478,0.999968509,NB-ARC domain-containing disease resistance protein
Bradi1g01270,-0.01963564,0.987675459,0.190552483,0.619629338,0.461556408,0.995860336,0.784331107,0.442097613,hydroxyproline-rich glycoprotein family protein
Bradi1g01280,0.327715236,0.654773644,-0.148765004,0.775992741,-0.009294314,0.997480472,0.145384545,0.999968509,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01290,0.119198745,0.656035306,-0.084999082,0.668449611,-0.03110653,0.995860336,-0.073613032,0.999968509,DERLIN-2.2
Bradi1g01300,0.371757858,0.302078962,0.012072852,0.972056272,0.027495504,0.995860336,-0.184967224,0.999968509,"nuclear factor Y, subunit C10"
Bradi1g01305,-0.793207779,NA,1.706237908,NA,0.61010767,0.995860336,0.632413257,NA,NA
Bradi1g01310,-0.266628672,0.596817274,-0.217119126,0.287449926,-0.373444419,0.995860336,-0.109845843,0.999968509,hydroxyproline-rich glycoprotein family protein
Bradi1g01320,0.354839524,0.157072452,0.435803677,0.084690532,0.412045234,0.678553832,-0.150902662,0.999968509,NA
Bradi1g01330,-0.122467545,0.905986772,0.11148063,0.796241104,0.197363171,0.995860336,-0.013852768,0.999968509,Protein of unknown function (DUF565)
Bradi1g01332,-0.235793432,NA,0.703815678,NA,-0.730079533,0.995860336,1.029374787,NA,Ribonuclease H-like superfamily protein
Bradi1g01334,NA,NA,-2.090603701,NA,NA,NA,NA,NA,NA
Bradi1g01336,0.85310193,0.784895135,0.343999685,NA,-0.333910135,0.995860336,0.227601313,0.999968509,NA
Bradi1g01338,-1.603853378,NA,-3.070883798,NA,0.57232784,0.995860336,0.167229274,NA,NA
Bradi1g01342,0.806633361,NA,-0.266658243,NA,0.257928341,0.995860336,0.369726097,NA,NA
Bradi1g01344,-4.742116759,NA,0.988856962,NA,0.61010767,0.995860336,0.750417107,NA,NA
Bradi1g01350,NA,NA,-2.090603701,NA,NA,NA,NA,NA,heat shock factor 3
Bradi1g01357,0.221994567,0.863194991,-0.495451906,0.075886641,-0.131763855,0.995860336,-0.068340946,0.999968509,heat shock protein 101
Bradi1g01363,-0.291732731,0.488694539,-0.254033545,0.282281206,0.031423498,0.995860336,-0.239868797,0.999968509,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01368,0.277401022,0.832831324,-0.294266325,0.681689907,-0.236534087,0.995860336,-0.019019589,0.999968509,Concanavalin A-like lectin protein kinase family protein
Bradi1g01374,0.284499528,0.749847183,-0.354923464,0.299548749,-0.517305932,0.995860336,0.082191218,0.999968509,NB-ARC domain-containing disease resistance protein
Bradi1g01380,0.25634033,0.635026963,0.140839344,0.439127022,-0.121432955,0.995860336,0.02149626,0.999968509,NB-ARC domain-containing disease resistance protein
Bradi1g01387,-0.096962184,0.912875284,-0.058041044,0.890223047,-0.228560524,0.995860336,0.199730269,0.999968509,NB-ARC domain-containing disease resistance protein
Bradi1g01397,-1.07154295,0.445923956,-0.721125262,0.321846998,-0.804948236,0.670651108,0.424622824,0.95553093,NB-ARC domain-containing disease resistance protein
Bradi1g01407,-0.384825734,0.64341824,-0.484150684,0.074176273,-0.441408033,0.342812074,0.412204656,0.683241599,NB-ARC domain-containing disease resistance protein
Bradi1g01420,-0.32721518,0.439304565,-0.091826416,0.704798119,-0.231765061,0.995860336,-0.100132364,0.999968509,AFG1-like ATPase family protein
Bradi1g01432,-1.967519515,0.12752601,-0.240555798,NA,-0.181126878,0.995860336,0.292339341,0.999968509,Leucine-rich repeat protein kinase family protein
Bradi1g01442,-0.683025063,0.765228356,1.517663852,NA,-1.244326046,0.927636968,0.868500965,0.849974947,Leucine-rich repeat protein kinase family protein
Bradi1g01450,NA,NA,-1.202093404,NA,0.751551015,0.995860336,1.179319173,NA,Eukaryotic aspartyl protease family protein
Bradi1g01455,NA,NA,-3.198623889,NA,0.695374683,0.995860336,0.901667052,NA,Eukaryotic aspartyl protease family protein
Bradi1g01460,-0.216421868,0.751140025,0.245120401,0.367453918,0.037612002,0.995860336,0.086050644,0.999968509,homolog of bacterial PANC
Bradi1g01470,0.173018775,0.91267786,-0.263775562,0.631111214,0.019080446,0.996316725,0.310996868,0.999968509,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g01480,-0.003956594,0.995817788,-0.057189746,0.70804254,0.295649069,0.904449297,-0.234012969,0.980156254,ankyrin repeat-containing protein 2
Bradi1g01487,-0.086083073,0.889697857,-0.077808486,0.760929515,-0.097630481,0.995860336,0.144933291,0.999968509,transducin family protein / WD-40 repeat family protein
Bradi1g01500,0.055090178,0.912875284,-0.036141303,0.904849115,0.060367432,0.995860336,-0.008444012,0.999968509,NA
Bradi1g01507,0.033916702,0.927729557,0.096813292,0.556469367,-0.116062771,0.995860336,-0.02950618,0.999968509,gametophytic factor 2
Bradi1g01520,0.630333494,0.366698032,-0.122571637,0.79389748,-0.390067839,0.995860336,-0.617974073,0.689820769,FRIGIDA-like protein
Bradi1g01530,0.251644473,0.375676214,0.268174281,0.099987396,0.24711578,0.892273966,-0.112601869,0.999968509,U2 small nuclear ribonucleoprotein A
Bradi1g01541,NA,NA,NA,NA,NA,NA,NA,NA,NA
Bradi1g01551,0.167943141,NA,1.513400939,NA,-2.699745019,0.995860336,-0.184721252,NA,NB-ARC domain-containing disease resistance protein
Bradi1g01560,0.164666432,0.604588977,0.253464158,0.084756879,0.101219536,0.995860336,-0.060208961,0.999968509,"26S proteasome regulatory subunit, putative (RPN5)"
Bradi1g01570,-0.129266586,0.732935593,0.181066067,0.550571322,0.050638555,0.995860336,-0.03620622,0.999968509,CAX interacting protein 1
Bradi1g01580,0.276061592,0.256653929,0.295536715,0.037352028,0.172098324,0.97313617,-0.155359401,0.993879369,GTP binding Elongation factor Tu family protein
Bradi1g01590,NA,NA,-0.135568707,NA,NA,NA,0.880546964,NA,NA
Bradi1g01593,NA,NA,NA,NA,-1.75468197,0.995860336,NA,NA,NA
Bradi1g01594,NA,NA,NA,NA,NA,NA,NA,NA,Cysteine proteinases superfamily protein
Bradi1g01596,0.214863574,0.927507978,0.524744915,0.41301266,-0.055207118,0.995860336,-0.168299919,0.999968509,NA
Bradi1g01598,NA,NA,NA,NA,NA,NA,NA,NA,Cysteine proteinases superfamily protein
Bradi1g01600,0.183113007,0.533011263,0.072832517,0.691616874,0.114348724,0.995860336,-0.331849479,0.670850428,basic transcription factor 3
Bradi1g01610,-0.44611838,0.808735869,-0.119588288,0.758294544,-0.783641195,0.937707873,-0.970030575,0.497009466,plantacyanin
Bradi1g01620,-0.139122271,0.784737546,-0.328520479,0.122128609,0.035673405,0.995860336,-0.197034564,0.999968509,"transferases, transferring glycosyl groups"
Bradi1g01630,-0.643130509,0.414516359,-0.418515731,0.120748208,-0.180744241,0.995860336,-0.025997839,0.999968509,Sec14p-like phosphatidylinositol transfer family protein
Bradi1g01640,0.320085001,0.89085664,-0.938405383,0.260019383,0.267370983,0.995860336,-0.085832675,0.999968509,Aspartate kinase family protein
Bradi1g01645,-0.209061762,0.898954609,-0.831619239,0.167885118,-0.324177074,0.995860336,-0.104469486,0.999968509,NA
Bradi1g01650,-3.348784875,NA,-1.146107043,NA,-3.580888629,0.995860336,0.869568703,NA,NAC domain containing protein  2
Bradi1g01656,-3.516097838,0.192288164,-0.301005688,NA,-0.485722748,0.995860336,1.525625528,NA,aspartate kinase 1
Bradi1g01660,-0.411010356,0.377563481,-0.23351521,0.30662147,0.280626459,0.995860336,-0.126402765,0.999968509,NA
Bradi1g01670,0.35167106,0.445923956,0.074327198,0.677480191,0.023848842,0.995860336,-0.307427517,0.968118824,NA
Bradi1g01680,1.130345573,NA,0.312651983,NA,-0.231508856,0.995860336,NA,NA,NA
Bradi1g01683,NA,NA,-2.090603701,NA,NA,NA,NA,NA,NAC domain containing protein 35
Bradi1g01686,0.520620527,0.772305924,-0.797568352,NA,-0.102976821,0.995860336,-0.218415759,0.999968509,NA
Bradi1g01691,0.700712414,0.832042904,-0.065142407,NA,-0.844565085,0.995860336,1.139568289,NA,NA
Bradi1g01692,-0.195825714,0.841381805,-0.145948263,0.804798998,-0.080669396,0.995860336,-0.166627593,0.999968509,photosystem II reaction center protein B
Bradi1g01693,-0.137639506,0.938792028,-0.576406989,0.057663206,-0.186200442,0.995860336,0.258944139,0.999968509,NA
