Gene,T1_fc,T1_padj,T2_fc,T2_padj,T3_fc,T3_padj,T4_fc,T4_padj,arabi-defline
Bradi1g00300,0.981004872,0.463012611,1.55836379,NA,NA,NA,NA,NA,phospholipase A 2A
Bradi1g00341,-0.345114336,0.889469612,NA,NA,0.545832313,0.813310749,NA,NA,NA
Bradi1g00345,NA,NA,1.008189673,NA,0.923082068,0.556448114,0.397721556,0.643549872,NA
Bradi1g00410,-0.382288727,0.906486073,-0.675212881,0.665427877,1.738189784,0.144700078,-0.506743352,0.461472641,NA
Bradi1g00417,0.231360939,0.86376935,-0.011437845,0.990862599,0.649840707,0.128103093,-0.320602964,0.059148504,NA
Bradi1g00427,0.327777071,0.726303584,0.636727834,0.031456936,0.703307434,4.41E-05,0.07506485,0.664946992,RAD3-like DNA-binding helicase protein
Bradi1g00450,-0.123898919,0.659311949,0.260483998,0.001257025,0.132601952,0.457256506,0.303863031,0.015474636,Ypt/Rab-GAP domain of gyp1p superfamily protein
Bradi1g00460,-0.149028468,0.822164206,0.239110743,0.007622638,0.246827812,0.33367779,0.46828838,1.06E-08,pleiotropic drug resistance 11
Bradi1g00470,0.033111343,0.948017198,-0.066327682,0.611757515,0.003074997,0.992883553,0.191947656,0.077721511,glutathione S-transferase THETA 1
Bradi1g00480,-0.039698377,0.914503251,0.067077521,0.636706027,-0.039520531,0.866882199,0.037671278,0.675742908,NA
Bradi1g00482,NA,NA,0.875614669,0.269740636,1.29148531,0.181293915,-0.288287441,0.654517414,NA
Bradi1g00485,-0.265324345,0.795838819,0.557008185,0.128609271,0.091563116,0.902034537,0.931639542,0.000288507,Nuclear transport factor 2 (NTF2) family protein
Bradi1g00491,-0.087522568,0.952137067,0.465715808,0.193305986,0.198226096,0.708304403,0.169255514,0.570284767,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g00497,0.06631563,0.803770888,-0.03833694,0.808791392,0.087484137,0.544943971,-0.083176315,0.521184282,F-box family protein
Bradi1g00510,-0.194401044,0.563255127,-0.199321559,0.24625265,-0.324270691,0.161807612,0.031921663,0.89127519,LUC7 N_terminus domain-containing protein
Bradi1g00517,0.158486711,0.695605181,0.2569091,0.009674931,0.187090236,0.19653754,0.065532076,0.73779556,RNA-binding (RRM/RBD/RNP motifs) family protein
Bradi1g00530,0.144459885,0.929807619,-0.016787222,0.978699865,-0.265841863,0.727987562,-0.040267666,0.90217435,Rhodanese/Cell cycle control phosphatase superfamily protein
Bradi1g00540,0.478711191,0.255379675,0.655929918,0.028017303,0.299544266,0.795507212,0.791981345,0.000112103,Heavy metal transport/detoxification superfamily protein 
Bradi1g00552,-0.158119698,0.712611858,0.299035391,0.082194813,0.127658379,0.86247025,0.04526535,0.851579344,plasma membrane intrinsic protein 2;5
Bradi1g00560,0.07158056,0.851853254,0.463670785,1.25E-05,-0.073275412,0.738942745,0.325678798,0.115487133,COP1-interacting protein-related
Bradi1g00563,-0.145680969,0.96440936,0.459660062,0.604371031,0.318648147,0.831566942,0.653645661,0.113626635,NA
Bradi1g00567,-0.028361802,0.936969634,0.159262072,0.095879476,0.030410135,0.923839719,0.047961245,0.68498625,LEUNIG_homolog
Bradi1g00580,-0.052963656,0.869416054,0.158635868,0.111288938,0.289015283,0.02344832,0.09177205,0.44030605,Protein kinase superfamily protein with octicosapeptide/Phox/Bem1p domain
Bradi1g00587,0.737240244,0.020925252,-0.404560206,0.107766642,0.089564719,0.8737244,-0.436662814,0.343854581,Flavin-binding monooxygenase family protein
Bradi1g00600,1.946014891,0.000792139,-1.402207758,5.65E-15,-0.418119932,0.74746659,-0.661815104,0.044406663,AWPM-19-like family protein
Bradi1g00620,-0.114979034,0.758341504,0.008333036,0.960485847,-0.149279992,0.648270606,0.283043824,0.019322673,ubiquitin-conjugating enzyme 5
Bradi1g00625,-0.08009905,0.953659711,0.166012841,0.74694446,-0.763014954,0.075311526,-0.779182135,0.002895003,NA
Bradi1g00630,-0.049272581,0.98042075,-0.318226878,0.573812679,-0.11436034,0.872110769,-0.910711928,8.01E-05,NA
Bradi1g00642,0.020840164,0.989897705,-0.048601662,0.9111129,0.055603111,0.938721834,0.046444012,0.910549551,NA
Bradi1g00654,0.153312914,0.932897998,0.930635751,0.156747666,-0.884446416,0.231156524,-2.331630804,3.71E-07,nodulin MtN21 /EamA-like transporter family protein
Bradi1g00666,2.10271493,0.311553323,NA,NA,-1.437329978,0.128809559,-3.122961306,4.25E-07,ethylene response factor 1
Bradi1g00678,-0.387730003,0.317657222,0.071360304,0.817010878,-0.203961179,0.680089596,-0.216379817,0.263093031,RNA-binding ASCH domain protein
Bradi1g00690,-0.495060139,0.101447922,-0.414142354,0.001468088,-0.032859073,0.910877606,-0.442184508,0.009507535,type one protein phosphatase 1
Bradi1g00700,-0.028799872,0.957647796,-0.333301734,0.195802175,-0.275960372,0.692610577,-0.306208099,0.011768597,phosphate transporter 1;7
Bradi1g00710,-0.193182734,0.755784703,0.084982341,0.534988195,-0.685168967,3.84E-07,-0.245803432,0.041304608,"Protein of unknown function, DUF547"
Bradi1g00720,0.169569606,0.803941361,0.021305361,0.931008682,-0.17768946,0.721222391,-0.03600315,0.844922004,Cysteine proteinases superfamily protein
Bradi1g00730,0.102009734,0.50237936,0.081992172,0.397520907,-0.086505691,0.579305675,-0.028504266,0.702193743,chaperonin-60alpha
Bradi1g00740,0.520999202,0.484245231,-0.472742433,0.184730135,-0.149277078,0.816649842,-0.201860654,0.677443126,Thioesterase superfamily protein
Bradi1g00750,0.358787836,0.824761033,-0.296867578,0.534660799,0.360878855,0.608920737,-0.570880578,0.133175201,RNApolymerase sigma-subunit F
Bradi1g00760,-0.29865642,0.640466236,0.190719972,0.256887867,0.354857364,0.131241578,0.45444759,0.016211207,ABC-2 type transporter family protein
Bradi1g00780,-0.272362676,0.764364342,-0.356888348,0.056064804,-0.005955342,0.992650718,0.075453969,0.742338865,MATE efflux family protein
Bradi1g00785,0.502203552,0.776252283,-0.294216115,0.63732618,-0.034581322,0.981864098,0.089320067,0.896261155,NA
Bradi1g00790,-0.227053585,0.962659913,-0.735648303,0.219911791,0.560311224,0.635813585,-0.928730577,0.090127601,GDSL-like Lipase/Acylhydrolase superfamily protein
Bradi1g00820,-0.018694299,0.961293383,-0.144796747,0.257384244,0.023230605,0.952304556,-0.061601518,0.67504473,winged-helix DNA-binding transcription factor family protein
Bradi1g00830,-0.173575436,0.718479011,-0.355950898,0.047210062,-0.735992007,0.005365071,-0.145117783,0.492106946,NA
Bradi1g00840,-0.129636065,0.829417284,-0.610959576,0.004050483,-0.143061685,0.790171876,-0.351759625,0.018455192,Protein of unknown function (DUF668)
Bradi1g00847,0.116773824,0.587995675,0.135928967,0.207360524,0.110870335,0.743602767,0.148031442,0.076875669,Transducin/WD40 repeat-like superfamily protein
Bradi1g00860,-0.101035448,0.767401107,0.039172381,0.802864269,0.045834085,0.825466103,0.108581338,0.447996248,indigoidine synthase A family protein
Bradi1g00880,-0.951509018,0.015744684,-0.394216373,0.112101248,-0.467555674,0.244339827,-0.34224616,0.174712104,NA
Bradi1g00887,0.071174578,0.759682499,0.473768244,0.000608739,0.456173051,0.000294012,0.499170542,1.83E-14,exportin 1A
Bradi1g00900,-0.416690922,0.625219901,-0.493389945,0.312616453,-0.738359973,0.305180366,-1.240126219,5.12E-08,Putative lysine decarboxylase family protein
Bradi1g00910,0.163123414,0.835004425,-0.351830838,0.019501176,-0.142308755,0.790684023,0.055143776,0.807331013,NA
Bradi1g00920,0.072786828,0.794118059,0.027558468,0.929901965,0.130371113,0.919005627,-0.10764201,0.68890041,Domain of unknown function (DUF303) 
Bradi1g00931,-0.114470666,0.824215489,0.123578811,0.386578616,0.348437508,0.486742955,0.082818714,0.668254145,Domain of unknown function (DUF303) 
Bradi1g00940,-0.41047858,0.882194523,-0.89917277,0.205713216,0.011554945,0.994543001,-0.101849852,0.840435091,PGR5-LIKE A
Bradi1g00950,-0.146475317,0.895928228,0.236251532,0.458224901,0.655525937,0.117833878,-0.331752639,0.059148504,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein
Bradi1g00960,0.147176326,0.907827169,0.364403249,0.104459938,0.274249968,0.387983488,0.364618895,0.011872297,LRR and NB-ARC domains-containing disease resistance protein
Bradi1g00970,-0.18895897,0.964189777,0.14974302,0.91149281,0.486802898,0.750034568,0.171821977,0.891899167,phloem protein 2-B10
Bradi1g00980,0.669281453,0.191360533,0.047684279,0.784178926,0.140287584,0.852595819,-0.290552708,0.165433031,"30S ribosomal protein, putative"
Bradi1g00990,-0.059256601,0.820963352,0.119505415,0.388570053,0.191287223,0.167950887,0.284791283,2.08E-05,homolog of yeast sucrose nonfermenting 4
Bradi1g01000,-0.202383441,0.280703257,-0.066616142,0.550785283,-0.010166606,0.9892316,0.115270327,0.33487174,acyl carrier protein 1
Bradi1g01007,0.090586747,0.854418081,0.159951476,0.384988033,0.21658887,0.196035629,-0.053203998,0.690453939,Ku80 family protein
Bradi1g01014,-0.091317664,0.751411979,-0.188719898,0.046651644,-0.153982794,0.456118703,-0.161717281,0.026190735,SNARE-like superfamily protein
Bradi1g01021,-0.484966735,0.8222991,-0.315305235,0.739441786,-0.464628865,0.752188645,-0.732688682,0.195138582,pentatricopeptide (PPR) repeat-containing protein
Bradi1g01047,0.056858131,0.891905322,-0.225530341,0.064379939,-0.094946652,0.847734055,-0.521609329,4.87E-14,NA
Bradi1g01070,0.272754854,0.250916327,-0.20627305,0.187343934,0.278781635,0.138437676,-0.193209833,0.176232376,CDK inhibitor P21 binding protein
Bradi1g01080,0.320932547,0.331647594,-0.143971641,0.724135883,-0.12372194,0.756677661,-0.144241054,0.546308701,AIG2-like (avirulence induced gene) family protein
Bradi1g01090,-0.036059438,0.946246896,0.09526959,0.273487899,-0.025257478,0.908729078,0.026144801,0.883560619,ARF-GAP domain 9
Bradi1g01100,-0.025275582,0.980494973,0.068729826,0.789242721,0.129051034,0.757556497,-0.190317964,0.262862843,Ribosomal protein S5 domain 2-like superfamily protein
Bradi1g01110,0.202495183,0.334708593,-0.174322247,0.158570253,0.000214204,0.999536426,-0.103121237,0.545072406,RNA-binding (RRM/RBD/RNP motifs) family protein
Bradi1g01120,-0.202975557,0.749366217,-0.547180554,0.002640653,-0.480701436,0.020523486,-0.725186621,1.91E-05,Ribonuclease III family protein
Bradi1g01130,0.02037609,0.966821189,-0.184162062,0.17954682,0.076151739,0.750747913,0.033688994,0.763364613,heat shock transcription factor A1D
Bradi1g01140,-0.073996795,0.917627152,-0.148669423,0.485852168,0.051683783,0.876916183,-0.00982994,0.945429432,cleavage and polyadenylation specificity factor 73-I
Bradi1g01150,0.141092658,0.908797426,-0.538202468,0.222567763,0.662392554,0.290206987,0.789868562,0.062880032,xyloglucan endotransglucosylase/hydrolase 30
Bradi1g01170,-0.108712501,0.75708025,0.100113578,0.526176055,0.029092922,0.923823693,0.335688972,0.000117807,WWE protein-protein interaction domain protein family
Bradi1g01180,-0.190823029,0.947698089,0.578518555,0.436198341,-0.241199032,0.938060289,-0.234774372,0.687807871,heat shock protein 101
Bradi1g01190,0.49689573,0.431183966,-0.454504313,0.251765077,0.641763031,0.114292584,0.063858855,0.779798856,non-specific phospholipase C4
Bradi1g01200,-0.236325007,0.618663458,-0.146359011,0.451556164,0.007865459,0.988904648,-0.158119689,0.383192126,cleavage and polyadenylation specificity factor 73-I
Bradi1g01210,-0.414294673,0.582121922,-0.006491913,0.990188217,0.269019293,0.486490287,-0.256815332,0.399374284,DZC (Disease resistance/zinc finger/chromosome condensation-like region) domain containing protein
Bradi1g01220,0.265889108,0.317895628,0.026897108,0.931234364,0.243429066,0.457286846,0.365350895,0.000599938,Ribonuclease P protein subunit P38-related
Bradi1g01227,-0.173261551,0.742232525,-0.129721666,0.377464085,-0.090364728,0.637821323,-0.035623122,0.713585688,NA
Bradi1g01240,NA,NA,0.217934127,NA,-0.577112092,0.651144883,-1.434636317,0.006426845,heat shock protein 101
Bradi1g01250,-0.115282629,0.772612719,-0.199953185,0.080941632,-0.174986092,0.380236305,-0.07663375,0.519255521,NB-ARC domain-containing disease resistance protein
Bradi1g01257,0.075551526,0.787248438,0.167635635,0.179290988,0.361685402,0.009489611,0.372762541,1.04E-05,NB-ARC domain-containing disease resistance protein
Bradi1g01270,0.183284634,0.904578538,0.17863932,0.223625775,0.387676113,0.539397389,1.278901167,4.14E-09,hydroxyproline-rich glycoprotein family protein
Bradi1g01280,0.409700145,0.706161,0.194187282,0.620261511,0.080736201,0.906789297,0.187975395,0.547974877,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01290,-0.01483454,0.974159336,0.206224382,0.071708503,0.033930165,0.898832191,0.128254967,0.504387573,DERLIN-2.2
Bradi1g01300,-0.080701887,0.903097209,-0.274637957,0.193375682,-0.08602437,0.923460744,-0.418404875,0.027446232,"nuclear factor Y, subunit C10"
Bradi1g01310,-0.139250979,0.677477056,0.074082842,0.726942782,-0.373126984,0.522940558,-0.321421142,0.134524829,hydroxyproline-rich glycoprotein family protein
Bradi1g01320,0.183543522,0.522738346,-0.041093166,0.800107707,0.15698527,0.858149402,-0.091499249,0.600143386,NA
Bradi1g01330,-0.789705367,0.540868928,0.134127373,0.748827862,0.053940773,0.94441669,0.797369438,0.002860282,Protein of unknown function (DUF565)
Bradi1g01336,NA,NA,NA,NA,0.197380056,0.915797305,1.327295586,0.080907886,NA
Bradi1g01357,0.204512315,0.770407982,-0.282157374,0.144619942,-0.034195046,0.952353397,-0.127704618,0.512468223,heat shock protein 101
Bradi1g01363,0.488550652,0.760073505,-0.540940124,0.263353094,-0.571639515,0.349261778,-0.521825144,0.196906663,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01368,-0.244339273,0.924766237,0.406723517,0.565179146,-0.007159531,0.995914542,0.476678941,0.444088424,Concanavalin A-like lectin protein kinase family protein
Bradi1g01374,NA,NA,NA,NA,NA,NA,1.684277012,0.106944063,NB-ARC domain-containing disease resistance protein
Bradi1g01380,NA,NA,0.573400035,0.579425442,-0.329963475,0.767639839,-0.375740793,0.534797772,NB-ARC domain-containing disease resistance protein
Bradi1g01387,0.20105075,0.839149094,0.008551618,0.987779153,-0.185378639,0.764173226,0.522787689,0.066672386,NB-ARC domain-containing disease resistance protein
Bradi1g01397,0.819775228,0.191344136,0.549169774,0.102267949,0.059064909,0.947056784,0.271139008,0.222192793,NB-ARC domain-containing disease resistance protein
Bradi1g01407,0.018277883,0.986430905,0.35154817,0.026985664,0.187567237,0.415428326,0.616467596,5.02E-06,NB-ARC domain-containing disease resistance protein
Bradi1g01420,-0.384416894,0.165113722,0.183970612,0.404054106,-0.202226431,0.677357055,0.011088895,0.938760659,AFG1-like ATPase family protein
Bradi1g01442,-0.364986991,0.553632239,0.256336328,0.187061779,0.367322173,0.343412911,0.838744862,0.018376119,Leucine-rich repeat protein kinase family protein
Bradi1g01450,NA,NA,0.248950513,NA,-2.18538671,0.107769473,0.058715829,0.957225473,Eukaryotic aspartyl protease family protein
Bradi1g01460,0.209072873,0.202613049,-0.159811257,0.446862702,-0.100373088,0.837604645,-0.307900655,0.011916512,homolog of bacterial PANC
Bradi1g01470,-0.370544719,0.802121232,-0.581872625,0.272149292,0.702107016,0.392240809,0.058560356,0.907502213,Pentatricopeptide repeat (PPR) superfamily protein
Bradi1g01480,0.785831572,0.695605181,-0.244492339,0.868620017,NA,NA,0.608983324,0.39207795,ankyrin repeat-containing protein 2
Bradi1g01487,0.05683475,0.941357867,0.082355882,0.728860331,0.061121727,0.848151647,0.059798324,0.68882185,transducin family protein / WD-40 repeat family protein
Bradi1g01500,-0.062566937,0.876230727,-0.256525389,0.085039451,0.080106899,0.900961791,-0.315472701,0.046638974,NA
Bradi1g01507,-0.042682483,0.907563951,0.038431158,0.864211929,-0.221831513,0.04631502,0.107872069,0.290512973,gametophytic factor 2
Bradi1g01520,0.786665566,0.45904038,0.037204723,0.956372427,-0.363578585,0.508846905,-0.472649934,0.091041244,FRIGIDA-like protein
Bradi1g01530,0.115503501,0.687125044,0.081879597,0.487433307,0.204694346,0.08070781,0.122412758,0.119688098,U2 small nuclear ribonucleoprotein A
Bradi1g01551,1.617982943,0.419014369,0.181579782,0.902261204,0.37897276,0.823778001,1.70500524,0.017469773,NB-ARC domain-containing disease resistance protein
Bradi1g01560,0.072204347,0.81020867,0.183189006,0.010940205,0.090938187,0.488303345,0.056663136,0.594247351,"26S proteasome regulatory subunit, putative (RPN5)"
Bradi1g01570,0.176963289,0.533063762,-0.233807541,0.180792454,-0.172472066,0.487521508,-0.192556561,0.251102698,CAX interacting protein 1
Bradi1g01580,0.103134677,0.839170154,0.107096747,0.341545967,0.21831554,0.561775604,-0.047805401,0.628360632,GTP binding Elongation factor Tu family protein
Bradi1g01600,-0.177703006,0.463757725,-0.31850781,0.000784012,0.11360411,0.89790004,-0.119551197,0.225172864,basic transcription factor 3
Bradi1g01610,-0.765105352,1.19E-11,-1.046779049,3.58E-12,-0.508417871,0.15197494,-0.021368235,0.936361908,plantacyanin
Bradi1g01620,-0.086800746,0.895928228,-0.326276393,0.135461995,-0.30696888,0.265131448,-0.086661854,0.602012941,"transferases, transferring glycosyl groups"
Bradi1g01630,0.014875657,0.992389037,0.003737088,0.993119385,0.184336313,0.727987562,0.197385339,0.523412393,Sec14p-like phosphatidylinositol transfer family protein
Bradi1g01640,0.23706274,0.580846091,0.147577823,0.526535497,0.518902989,0.249553259,0.269376824,0.107563301,Aspartate kinase family protein
Bradi1g01645,0.738831031,0.759766023,-0.900137352,0.284529534,NA,NA,NA,NA,NA
Bradi1g01650,0.185753211,0.787934182,-0.128147577,0.676153251,0.423721476,0.269483577,0.026539173,0.938329754,NAC domain containing protein  2
Bradi1g01656,-0.07252949,0.908797426,0.143808066,0.197943436,0.543947877,0.097718794,0.040551183,0.84755014,aspartate kinase 1
Bradi1g01660,0.476462967,0.511418497,-0.434509981,0.128075094,1.148659365,0.006434364,0.282206012,0.674171692,NA
Bradi1g01670,0.142335935,0.81505868,-0.211816076,0.327706493,0.189981464,0.480692327,-0.162295211,0.141228449,NA
Bradi1g01686,-0.243349072,0.898550672,0.435708935,0.566976825,-0.647596036,0.418112642,-0.14650923,0.822553027,NA
Bradi1g01692,-0.407763744,0.725759927,-0.567609102,0.106300306,-0.457631166,0.611226489,0.247420328,0.478052754,photosystem II reaction center protein B
Bradi1g01693,0.024962111,0.989649169,-0.072882379,0.82303914,-0.098531821,0.841872841,0.237599808,0.263973878,NA
Bradi1g01710,-0.249204811,0.398870918,0.126848383,0.412873179,0.1098498,0.684010655,0.277588697,0.027274721,protein binding
Bradi1g01720,0.024357289,0.971006148,-0.010237009,0.956774785,-0.284860973,0.039809757,0.016480231,0.93846044,B-cell receptor-associated protein 31-like 
Bradi1g01730,0.029659269,0.968203378,-0.039913323,0.831029289,-0.138384189,0.630339948,0.290460989,0.003600785,RPM1 interacting protein 4
Bradi1g01740,-0.001444252,0.998315579,0.396914282,0.000484911,0.36506481,0.000938213,0.426508962,0.00176624,NA
Bradi1g01750,0.159923132,0.753997119,0.204591057,0.549685693,-0.208443746,0.777611523,-0.375725998,0.01150077,Nucleotide-diphospho-sugar transferase family protein
Bradi1g01760,0.246610092,0.497922841,0.045481627,0.876694042,0.100273712,0.883710907,0.767669982,1.19E-06,NA
Bradi1g01770,0.13264429,0.849008299,0.140592524,0.435677697,0.256853598,0.217111917,0.130929063,0.430434991,S-adenosylmethionine carrier 1
Bradi1g01780,0.025242031,0.989992632,-0.336427426,0.048593782,-0.526310328,0.006383939,-0.181960549,0.188205398,NAD(P)-binding Rossmann-fold superfamily protein
Bradi1g01790,0.238032548,0.837656663,-0.470230527,0.017116805,-0.660269042,7.30E-05,-1.468590024,1.62E-06,Sterile alpha motif (SAM) domain-containing protein
Bradi1g01800,0.027382688,0.947735868,0.07062233,0.87875904,0.181658344,0.069891658,-0.574130919,0.002675401,aspartate kinase 1
Bradi1g01802,0.277606655,0.809386134,-0.02963007,0.955769503,-0.034129078,0.967228614,-0.453625284,0.149523602,NA
Bradi1g01810,0.549469439,0.486831096,0.270047765,0.455990742,0.536816297,0.133450343,0.116616568,0.701042196,NA
Bradi1g01820,-0.446141553,0.004301607,-0.326500444,0.049229441,-0.650061337,2.83E-13,0.037737006,0.794461613,ROP-interactive CRIB motif-containing protein 4
Bradi1g01830,-0.066841977,0.895928228,-0.339523811,0.024813359,-0.466573756,0.029277273,-0.281414445,0.000890956,NA
Bradi1g01840,-0.016986728,0.965064112,0.209216717,0.023188255,-0.035462614,0.945316017,0.038143272,0.877350264,Protein kinase superfamily protein
Bradi1g01847,-0.172431226,0.701798174,0.405503732,0.008238681,0.476907852,0.004555545,0.209625018,0.071702312,AMP-dependent synthetase and ligase family protein
Bradi1g01860,-0.14983284,0.965700568,-1.20265315,0.111086015,0.226014709,0.797551918,-0.720632723,0.103685459,Hyaluronan / mRNA binding family
Bradi1g01870,-0.255544838,0.283929251,-0.154832068,0.350534999,-0.568557837,0.122154299,-0.417537503,0.000290857,RmlC-like cupins superfamily protein
Bradi1g01880,0.076475109,0.961360282,-0.32559488,0.454243514,0.153504871,0.85352019,-0.576124278,0.064533787,Nucleic acid-binding proteins superfamily
Bradi1g01890,0.443031794,0.811601323,-0.14010809,0.829009446,0.556833329,0.67702059,-1.193303567,0.028953478,NA
Bradi1g01900,-0.042682685,0.951755092,-0.115193921,0.431699522,0.150514924,0.484522612,0.089766192,0.467883392,OxaA/YidC-like membrane insertion protein
Bradi1g01930,-0.019917356,0.978119585,0.077500065,0.624302409,0.112101275,0.700008217,0.166556433,0.202099231,Protein phosphatase 2A regulatory B subunit family protein
Bradi1g01936,-0.092015115,0.838937936,0.049168478,0.726968269,0.048722261,0.879847928,-0.170122935,0.18795356,Protein kinase superfamily protein
Bradi1g01942,-0.08184776,0.965850093,0.834459297,0.019467483,0.613933305,0.300181729,0.311162333,0.379063588,Poly (ADP-ribose) glycohydrolase (PARG)
Bradi1g01948,-0.102588395,0.90073626,-0.127149498,0.721418804,0.026842431,0.955381405,0.570290109,0.001010543,Poly (ADP-ribose) glycohydrolase (PARG)
Bradi1g01965,-0.029232319,0.991884062,0.10639213,0.846059323,0.152520021,0.88225267,0.543540248,0.123852562,NA
Bradi1g01970,-0.005536151,0.998702863,-0.355069236,0.695102615,0.207134106,0.944606592,-0.079145453,0.909354188,Tetratricopeptide repeat (TPR)-like superfamily protein
Bradi1g01980,-0.167263073,0.801394472,-0.027833732,0.916868539,0.053884935,0.89914057,-0.093060802,0.571847737,Poly (ADP-ribose) glycohydrolase (PARG)
Bradi1g01985,NA,NA,NA,NA,NA,NA,1.786333554,0.119692048,EF-TU receptor
Bradi1g01990,0.066040147,0.932273491,0.095089164,0.522121606,0.378363189,0.032686113,0.0179498,0.882684297,FAR1-related sequence 6
Bradi1g02000,-0.055958256,0.900311928,0.277262384,0.018900412,-0.00486193,0.994639691,0.057867706,0.602965344,NA
Bradi1g02010,-0.097738382,0.911212118,0.160666097,0.656441445,0.279424571,0.711652833,-0.089186873,0.724154668,zinc ion binding
Bradi1g02020,-0.007556534,0.989309414,0.00990667,0.962379222,-0.104222934,0.729283891,-0.048451036,0.704972673,LUC7 related protein
Bradi1g02030,-0.040358934,0.983744286,0.011311562,0.984765102,0.041436917,0.961530028,-0.410889433,0.1906502,Translation elongation  factor EF1B/ribosomal protein S6 family protein
Bradi1g02056,-0.596140002,0.678407512,0.619523559,0.224807685,-0.060208794,0.960317173,0.792421803,0.048270807,NA
Bradi1g02060,-0.060288435,0.859495558,-0.225651711,0.077683633,-0.144359897,0.391230326,-0.041590461,0.780815064,NA
Bradi1g02080,-0.089718899,0.923587907,-0.170490592,0.620303507,-0.482106879,0.407991894,0.036191368,0.888939854,NA
Bradi1g02090,-0.093323886,0.822661393,-0.148370318,0.327022069,-0.294203896,0.18600335,-0.435761856,0.004890823,"Late embryogenesis abundant protein, group 2"
Bradi1g02100,-0.051208147,0.938267138,-0.167786592,0.457080561,-0.008431444,0.9892316,-0.221330552,0.072652695,RAB GTPase 11C
Bradi1g02117,-0.107185662,0.897831544,0.172157208,0.289085902,0.221079247,0.315530548,0.548154835,0.00027635,Vacuolar sorting protein 9 (VPS9) domain
Bradi1g02130,-0.024676204,0.987815144,-0.303503879,0.47795743,0.198999669,0.713375403,0.428153001,0.130941223,NA
Bradi1g02137,-0.261290348,0.604252008,-0.403397148,0.042160569,0.050479343,0.948855669,0.118083429,0.64041543,NA
Bradi1g02145,0.161133619,0.87272878,-0.193967352,0.305369133,0.07177066,0.846585367,0.022423888,0.908512269,Co-chaperone GrpE family protein
Bradi1g02150,0.840706551,0.773399455,0.750446356,0.259125464,-0.982094385,0.191342925,-0.281142537,0.627632329,FAD/NAD(P)-binding oxidoreductase family protein
Bradi1g02160,0.031113525,0.970443209,0.188147267,0.092322899,0.141289096,0.60228408,0.328641246,0.002850885,shaggy-like kinase 42
Bradi1g02170,0.241193062,0.079041738,0.068317773,0.682480084,0.119064919,0.858602238,0.085697374,0.355065374,prohibitin 2
Bradi1g02180,-0.010519012,0.989797532,-0.052619723,0.785163757,0.129399869,0.793137388,0.076083632,0.595433395,F-box/RNI-like/FBD-like domains-containing protein
Bradi1g02205,4.801257583,0.023323915,NA,NA,NA,NA,NA,NA,NA
Bradi1g02210,0.046565864,0.981948921,0.256489156,0.6950343,-0.265577308,0.67702059,0.090877547,0.791740646,wall associated kinase-like 2
Bradi1g02220,-0.08553118,0.784019925,-0.088785871,0.366018109,-0.117950291,0.75626219,-0.095940706,0.45718466,Domain of unknown function (DUF543)
